State,Nitrogen,Phosphorous ,Potassium ,Temperature,Humidity,pH,Crop
Punjab,2,123,205,22.36629253,90.78572467,5.739652177,Apple
Punjab,23,138,195,22.49095104,91.70292746,5.795985716,Apple
Punjab,30,127,204,22.50050273,92.45878335,6.126436584,Apple
Punjab,0,133,200,23.67287749,90.4935574,5.708418722,Apple
Punjab,10,140,197,22.16939473,90.27185592,6.229498836,Apple
Punjab,28,130,196,22.13450646,94.67695747,6.062356467,Apple
Punjab,15,133,199,23.99686172,91.61001707,5.824778636,Apple
Punjab,22,144,196,21.91191314,91.68748063,6.499226821,Apple
Punjab,35,131,203,22.42776057,93.91722423,5.893490899,Apple
Punjab,32,137,204,22.86006627,93.12859895,5.824151693,Apple
Punjab,2,143,196,22.71271308,90.45261746,5.669489065,Apple
Punjab,29,132,204,23.08950736,90.22507299,6.0967531,Apple
Punjab,27,139,205,22.48403042,93.40819246,5.772179946,Apple
Punjab,27,138,201,23.66682067,93.90191078,5.952367662,Apple
Punjab,14,139,197,21.72484506,92.83975602,6.056529526,Apple
Punjab,31,121,201,23.15791104,90.34396882,5.731535258,Apple
Punjab,33,121,203,22.45696744,94.76285385,5.605934087,Apple
Punjab,6,144,198,21.11478672,90.31528693,5.559363609,Apple
Punjab,28,123,202,22.76643029,92.12438519,6.442289294,Apple
Punjab,30,122,197,21.37784654,92.72043743,5.573241391,Apple
Punjab,29,145,205,22.81227579,92.12992101,6.212302608,Apple
Punjab,17,136,196,23.87192332,90.49939035,5.882155988,Apple
Punjab,29,139,205,23.64142354,93.74461474,6.155939453,Apple
Punjab,16,143,197,22.61711614,93.51978375,5.90402645,Apple
Punjab,25,143,198,22.81212536,91.51861705,6.027314401,Apple
Punjab,15,123,204,22.52709326,92.54780429,6.365972688,Apple
Punjab,24,128,196,22.75088787,90.69489172,5.521466996,Apple
Punjab,0,123,205,22.02775403,92.96129462,5.790993052,Apple
Punjab,20,129,201,23.41044706,91.69913296,5.587905967,Apple
Punjab,20,139,202,23.50201428,92.21083961,5.66999105,Apple
Punjab,33,143,204,21.1316077,91.95769858,5.814434775,Apple
Punjab,21,137,196,23.6119202,91.70293849,5.812781806,Apple
Punjab,33,138,198,22.29423493,90.69033986,6.222390798,Apple
Punjab,5,136,195,22.35628673,91.92360477,6.264202804,Apple
Punjab,18,125,203,22.44307715,91.59234006,6.160267496,Apple
Punjab,6,124,200,22.98208095,93.84505029,5.971332179,Apple
Punjab,9,137,200,21.12152071,90.6878768,5.636687393,Apple
Punjab,3,141,197,21.98141856,91.12719303,6.142803397,Apple
Punjab,5,144,205,21.42177231,92.62665309,6.184922574,Apple
Punjab,8,120,201,21.18667419,91.13435689,6.321152192,Apple
Punjab,33,134,205,21.0365275,94.33919546,6.08551916,Apple
Punjab,30,137,200,22.91430043,90.70475565,5.603413172,Apple
Punjab,40,136,202,22.85267372,94.5764581,5.935336308,Apple
Punjab,26,121,201,22.19109412,90.02575116,6.162034371,Apple
Uttar Pradesh,1,135,203,22.77856513,92.70124029,5.624203283,Apple
Uttar Pradesh,21,135,198,23.86087054,94.92048112,5.765015126,Apple
Uttar Pradesh,40,120,197,23.80593812,92.48879468,5.889480679,Apple
Uttar Pradesh,30,143,199,23.76881552,90.59810302,5.7983508,Apple
Uttar Pradesh,10,141,201,22.12659387,90.97818277,6.386021424,Apple
Uttar Pradesh,31,137,196,22.14464104,93.82567435,6.400321212,Apple
Uttar Pradesh,7,141,195,23.8812458,93.45067555,5.514253142,Apple
Uttar Pradesh,1,124,199,23.71059131,93.27392415,5.658473817,Apple
Uttar Pradesh,13,121,196,22.20700989,93.50574163,6.443382913,Apple
Uttar Pradesh,11,143,197,22.98458907,93.3204487,5.875718516,Apple
Uttar Pradesh,2,129,201,22.78234161,94.36803516,5.682343744,Apple
Uttar Pradesh,14,128,205,22.60800988,94.58900601,6.226289556,Apple
Uttar Pradesh,29,144,204,22.43324518,92.48667725,5.800448951,Apple
Uttar Pradesh,28,123,198,23.46260321,91.45665004,5.682751473,Apple
Uttar Pradesh,2,120,203,23.12652652,94.71203306,5.893492999,Apple
Uttar Pradesh,2,140,197,22.69780133,92.82223419,5.53456749,Apple
Uttar Pradesh,34,140,198,21.70416965,93.44006288,5.751707342,Apple
Uttar Pradesh,25,132,198,22.31944084,90.85174383,5.732757516,Apple
Uttar Pradesh,32,145,203,23.83053666,90.84422164,6.406818518,Apple
Uttar Pradesh,14,140,197,23.35225078,90.90054697,6.071255131,Apple
Uttar Pradesh,9,139,199,23.25230817,94.54128292,5.867420996,Apple
Uttar Pradesh,36,144,196,23.65167552,94.50528753,6.496934492,Apple
Uttar Pradesh,7,144,195,22.96388477,93.58065995,5.85648105,Apple
Uttar Pradesh,33,73,23,29.23540524,59.38967583,5.985792703,Arhar
Uttar Pradesh,20,74,16,36.04353699,43.61444121,4.759490199,Arhar
Uttar Pradesh,39,57,19,29.32379604,45.93248374,6.421748487,Arhar
Uttar Pradesh,20,77,23,34.87248659,38.83786012,5.180271502,Arhar
Uttar Pradesh,31,56,23,31.46846241,35.39454002,5.661826398,Arhar
Uttar Pradesh,23,75,25,31.07508973,47.19847683,7.077170002,Arhar
Gujarat,11,72,22,29.37735586,44.82294584,6.842744374,Arhar
Gujarat,9,66,21,30.11812084,34.13307843,5.719889876,Arhar
Gujarat,16,73,19,18.41645629,34.80541039,4.684079249,Arhar
Gujarat,27,57,24,27.33534897,43.35795962,6.09186275,Arhar
Gujarat,1,66,23,19.54317155,56.92831399,4.803564468,Arhar
Gujarat,20,67,19,19.24462755,50.54495302,5.671419084,Arhar
Gujarat,17,64,16,30.97758716,32.24914235,7.161797643,Arhar
Gujarat,27,61,18,33.30711818,67.07780816,5.266227032,Arhar
Gujarat,29,78,25,19.95991719,59.33157782,5.982854523,Arhar
Gujarat,36,61,21,34.53823889,39.04468913,5.617008201,Arhar
Gujarat,32,70,20,20.89342749,46.24856523,6.208843215,Arhar
Gujarat,39,77,21,22.99774444,60.24218572,4.603563116,Arhar
Gujarat,5,56,24,24.80710166,45.01110015,5.023115055,Arhar
Gujarat,16,70,20,24.80467592,40.1242747,5.6093956,Arhar
Gujarat,29,72,24,23.17409556,36.67847052,6.962386495,Arhar
Gujarat,5,68,20,19.04380471,33.10695144,6.12166671,Arhar
Gujarat,27,71,24,31.46417866,48.17631461,7.064973419,Arhar
Gujarat,23,55,16,21.01142393,69.69141302,5.111488821,Arhar
Gujarat,16,56,17,33.80020039,40.03262418,7.445444883,Arhar
Gujarat,30,75,25,30.33276599,42.35249879,6.446091759,Arhar
Gujarat,17,67,18,31.2192752,56.46868874,5.611510977,Arhar
Gujarat,6,66,15,34.93174223,30.40046769,6.345806011,Arhar
Gujarat,14,74,19,18.39759147,36.82639309,6.624966131,Arhar
Gujarat,35,80,25,28.09269012,44.93322042,4.895927306,Arhar
Gujarat,34,75,24,23.50222822,51.29019509,4.760038039,Arhar
Gujarat,16,80,20,31.24021696,56.67369054,7.339320929,Arhar
Gujarat,13,75,20,30.55992394,35.29006485,6.979540061,Arhar
Gujarat,20,60,22,29.65052947,42.89833235,6.876572503,Arhar
Gujarat,25,64,20,33.15122581,32.45974539,4.807776749,Arhar
Uttar Pradesh,5,55,18,33.50876355,45.70976142,7.322097972,Arhar
Uttar Pradesh,6,69,19,26.88630675,41.69617915,4.750929218,Arhar
Uttar Pradesh,35,58,20,29.38538562,63.47742011,5.761702519,Arhar
Uttar Pradesh,1,76,17,28.43430726,52.10010827,6.012719118,Arhar
Uttar Pradesh,37,77,17,36.20970524,31.94550613,5.617122801,Arhar
Uttar Pradesh,19,57,23,23.6734328,47.2879691,7.342409555,Arhar
Uttar Pradesh,4,69,19,19.25100056,47.70351758,5.374358869,Arhar
Uttar Pradesh,26,73,21,31.33170829,57.97429171,4.946263888,Arhar
Uttar Pradesh,16,55,19,19.54314136,47.19188279,6.413543781,Arhar
Uttar Pradesh,9,59,24,20.43517772,39.37252634,4.747352458,Arhar
Uttar Pradesh,20,72,15,36.00415838,56.01334416,7.313517308,Arhar
Uttar Pradesh,24,70,21,19.14729038,45.3733757,5.517208078,Arhar
Uttar Pradesh,8,59,18,29.50523036,35.72032498,6.216814453,Arhar
Uttar Pradesh,18,55,23,21.9989826,56.31006755,6.98571967,Arhar
Uttar Pradesh,2,67,18,34.51934775,47.52980027,5.921666758,Arhar
Uttar Pradesh,7,77,18,20.5591255,60.54880693,6.655918078,Arhar
Uttar Pradesh,10,79,18,21.0643684,55.46985938,5.624731338,Arhar
Uttar Pradesh,7,74,17,22.47253208,62.56532471,5.667419697,Arhar
Uttar Pradesh,5,62,23,27.9348279,66.45457122,4.722222454,Arhar
Uttar Pradesh,18,58,16,21.47607807,38.80023714,4.962661422,Arhar
Uttar Pradesh,40,59,23,36.89163721,62.73178224,5.269084669,Arhar
Uttar Pradesh,40,70,20,31.80130272,45.03186173,5.623490043,Arhar
Uttar Pradesh,26,64,22,25.95058595,40.58227261,5.16516459,Arhar
Uttar Pradesh,33,61,24,20.04611791,48.93905624,4.567446499,Arhar
Uttar Pradesh,27,74,20,24.69487673,59.96669215,5.859813416,Arhar
Uttar Pradesh,38,61,21,30.27374995,67.38680755,4.696518678,Arhar
Uttar Pradesh,17,73,18,19.50112224,34.51086611,5.632353113,Arhar
Uttar Pradesh,10,71,18,19.54284889,66.34777265,6.151029296,Arhar
Uttar Pradesh,34,56,17,33.4126864,35.42910045,4.548202098,Arhar
Uttar Pradesh,3,60,19,25.74679443,40.7192594,4.820788186,Arhar
Telangana,82,78,46,25.05802193,84.97323747,5.738678895,Banana
Telangana,117,86,48,28.6956201,82.54195839,6.225225239,Banana
Telangana,106,85,53,27.1994597,78.8086068,5.91505509,Banana
Telangana,85,89,51,29.21144871,84.70189923,6.158164422,Banana
Telangana,83,79,55,25.14748006,83.34688193,5.565028635,Banana
Telangana,101,70,48,25.36059237,75.03193255,6.012696655,Banana
Telangana,101,87,54,29.07311132,76.50045221,6.376756633,Banana
Telangana,91,84,52,29.14827211,78.71024836,6.390741836,Banana
Telangana,117,79,49,25.40909896,82.36208097,6.176644228,Banana
Telangana,91,94,46,29.36792366,76.24900101,6.149934034,Banana
Telangana,119,72,55,25.99069521,83.33983116,6.220643671,Banana
Nagaland,105,95,50,27.33368994,83.67675197,5.849076099,Banana
Nagaland,120,87,52,28.0764455,76.05522115,5.905494703,Banana
Nagaland,101,92,45,28.22776705,80.6430384,5.758054257,Banana
Nagaland,92,75,45,29.01207743,77.95192527,5.674403359,Banana
Nagaland,92,85,51,29.22118628,81.08183635,5.740764682,Banana
Nagaland,86,76,54,29.3159075,80.11585705,5.926824754,Banana
Nagaland,108,94,47,27.35911627,84.54625006,6.387431383,Banana
Nagaland,100,80,52,27.53911354,77.25629897,6.049801781,Banana
Nagaland,105,74,45,25.14517635,81.38204104,6.098369122,Banana
Nagaland,117,82,45,25.29391516,79.29122198,5.614471478,Banana
Nagaland,116,81,55,26.42313317,83.6995044,5.915546415,Banana
Bihar,100,76,45,25.56703012,75.94067692,5.590236025,Banana
Bihar,108,88,55,26.28845991,83.390039,5.891458107,Banana
Bihar,90,92,55,27.00932084,80.18546798,6.13465588,Banana
Bihar,89,91,55,25.08347445,80.261731,6.275572298,Banana
Bihar,109,79,45,27.66752761,79.68542782,6.490074429,Banana
Bihar,92,81,52,28.0106804,76.52808057,5.891413895,Banana
Bihar,101,75,50,26.59386409,81.40740301,6.242528278,Banana
Bihar,89,83,47,28.09577643,77.79586769,5.63127166,Banana
Bihar,99,92,47,28.1279509,77.48247073,6.323933647,Banana
Bihar,116,71,47,27.57278064,82.0638878,6.435785799,Banana
Chhattisgarh,102,73,52,27.9122104,83.36307683,6.356090905,Banana
Chhattisgarh,113,85,45,27.94972463,76.63713353,6.037430836,Banana
Chhattisgarh,97,74,45,26.47522633,78.51833782,5.677719902,Banana
Chhattisgarh,109,91,53,29.66727337,83.51014178,6.010095853,Banana
Chhattisgarh,93,94,53,25.86632408,84.42379269,6.079178788,Banana
Gujarat,80,71,47,27.50527651,80.79783998,6.156373499,Banana
Gujarat,104,73,46,29.1400919,80.1190228,6.28236237,Banana
Gujarat,117,86,53,25.19640218,83.55829874,5.703381728,Banana
Gujarat,105,88,54,25.78749808,84.51194224,6.020445317,Banana
Gujarat,118,88,51,25.44926208,79.49221962,6.201911642,Banana
Gujarat,111,87,48,26.3985515,81.36028902,5.571401169,Banana
Gujarat,112,73,48,29.2440638,77.32017166,5.707488987,Banana
Gujarat,117,76,47,25.56202173,77.38229006,6.119216009,Banana
Gujarat,114,79,51,26.21009246,82.34429458,6.313197204,Banana
Gujarat,89,85,55,26.6719835,76.48541655,6.275384607,Banana
Gujarat,114,94,53,26.33544853,76.8532006,6.190757459,Banana
Gujarat,95,88,52,28.00316034,78.90085998,6.235461772,Banana
Gujarat,90,86,55,27.96236771,84.15403614,5.644486582,Banana
Gujarat,119,90,48,28.66725136,79.59242542,5.986442306,Banana
Gujarat,93,81,50,27.71822477,76.57853189,6.036079266,Banana
Karnataka,96,86,51,29.90888522,76.98740841,6.257369799,Banana
Karnataka,108,89,53,29.12036889,80.18080728,5.908770059,Banana
Karnataka,99,73,53,26.29039046,81.06003778,5.871702211,Banana
Karnataka,111,88,55,29.44795403,78.34971537,5.505393833,Banana
Karnataka,83,94,47,27.39872329,81.10523402,6.469370954,Banana
Karnataka,94,89,48,28.55980972,84.51602322,5.653437902,Banana
Karnataka,85,95,47,25.94019018,78.3422098,6.211833161,Banana
Karnataka,103,72,51,26.12643374,81.81365007,6.099478745,Banana
Karnataka,100,74,52,25.43480512,81.53977797,5.837258235,Banana
Karnataka,110,78,50,25.93730186,78.89864446,5.915568968,Banana
Karnataka,95,75,45,28.98333432,82.95958244,5.829898502,Banana
Karnataka,82,75,55,27.34585147,78.4873835,6.281069505,Banana
Maharashtra,80,90,47,26.59743595,79.35898915,6.21084479,Banana
Maharashtra,102,73,54,26.4020227,84.41007614,5.720726906,Banana
Maharashtra,98,79,50,25.34119774,84.47321314,6.435917308,Banana
Maharashtra,94,70,48,25.13686519,84.88394407,6.195152442,Banana
Maharashtra,118,88,52,28.65003945,82.68752542,5.843163161,Banana
Maharashtra,107,71,55,29.42017919,83.96754496,6.088064451,Banana
Maharashtra,110,71,54,28.67208915,82.20793613,5.725418961,Banana
Maharashtra,93,83,46,29.38254012,83.50423735,5.765308943,Banana
Maharashtra,95,75,50,28.08166093,75.26429821,5.623615687,Banana
Maharashtra,106,70,55,25.86824781,78.52399914,5.74055541,Banana
Maharashtra,117,81,53,29.50704598,78.20585613,5.507641778,Banana
Tamil Nadu,80,77,49,26.05433004,79.39654531,5.519088423,Banana
Tamil Nadu,93,85,49,27.96799119,79.28625709,5.694243847,Banana
Tamil Nadu,107,72,45,28.14938935,81.54448882,5.790768046,Banana
Tamil Nadu,108,89,53,29.55054817,78.06762846,5.808497604,Banana
Tamil Nadu,95,74,50,25.90113128,80.47152737,6.002481605,Banana
Tamil Nadu,99,70,46,26.59580783,82.99556744,5.727469947,Banana
Tamil Nadu,105,93,46,25.01018457,78.76260938,5.760457558,Banana
Tamil Nadu,111,79,53,28.31193338,75.77363772,6.165001278,Banana
Tamil Nadu,95,82,48,27.39489579,83.31172003,5.719014989,Banana
Tamil Nadu,112,87,48,27.19711623,77.3970629,6.200111068,Banana
Tamil Nadu,94,91,51,29.16093424,76.67484233,5.618094446,Banana
Tamil Nadu,86,79,45,27.81251452,82.69285419,5.80766417,Banana
Tamil Nadu,102,71,48,28.65456263,79.28693687,5.695267822,Banana
Tamil Nadu,105,77,52,29.16226551,76.16151562,5.816622479,Banana
Tamil Nadu,91,75,55,27.48612983,76.11239849,6.212369363,Banana
West Bengal,90,86,52,25.85036988,81.95580471,5.793260262,Banana
West Bengal,86,95,49,28.05484146,78.04602887,6.458714879,Banana
West Bengal,82,77,46,28.9470467,82.1888998,5.901100841,Banana
West Bengal,88,78,45,29.10403455,79.19588629,6.324270089,Banana
West Bengal,108,72,46,25.16278237,84.97849241,6.110844721,Banana
West Bengal,92,81,52,27.39341554,81.4654833,6.438137279,Banana
West Bengal,108,92,53,27.40053601,82.96221306,6.276800323,Banana
West Bengal,104,80,54,27.09062164,81.33506906,5.879119455,Banana
West Bengal,83,95,50,26.51682337,77.79913575,5.50947065,Banana
West Bengal,93,91,47,27.84767901,83.31110751,6.101241579,Banana
Telangana,34,76,80,20.65691793,15.84572566,7.985417393,Chana
Telangana,44,59,78,20.67526473,19.85388984,7.599033472,Chana
Telangana,28,74,81,18.01272266,18.30968112,8.753795334,Chana
Telangana,39,58,85,17.88776475,15.40589717,5.996932037,Chana
Telangana,24,55,78,17.30287885,15.15405941,6.64919573,Chana
Telangana,47,79,78,17.48395377,14.76014523,6.609696734,Chana
Telangana,37,66,85,20.93175255,18.91295403,6.456148474,Chana
Telangana,25,68,77,20.09340593,15.11279612,7.701446446,Chana
Telangana,22,67,78,17.16606398,14.42457525,6.204090835,Chana
Telangana,60,68,83,19.12065218,18.43475844,6.620900869,Chana
Telangana,22,78,76,17.84851658,19.09172907,8.621662982,Chana
Telangana,22,60,85,18.8392908,14.74071856,7.811997977,Chana
Telangana,35,64,78,17.92845928,14.27327988,7.496645259,Chana
Telangana,49,69,82,18.31561493,15.36143547,7.26311855,Chana
Telangana,58,66,79,20.99373558,19.33470387,8.718192847,Chana
Telangana,53,73,77,19.71359733,18.09665739,7.325451279,Chana
Telangana,54,77,85,17.1418614,17.0662427,7.829211144,Chana
Telangana,39,76,76,19.96837462,15.57324389,8.135900726,Chana
Telangana,54,61,77,18.81198127,15.21618225,6.206582193,Chana
Telangana,52,73,79,17.25769499,18.74943955,7.840339389,Chana
Madhya Pradesh,28,76,82,20.56601874,14.25803981,6.654425315,Chana
Madhya Pradesh,20,79,77,18.54988627,16.02542689,7.64867466,Chana
Madhya Pradesh,36,67,77,18.36952567,19.56381041,7.152811172,Chana
Madhya Pradesh,33,75,84,19.46210401,18.72831993,7.217018459,Chana
Madhya Pradesh,29,77,75,17.50361137,15.48083156,7.778591618,Chana
Madhya Pradesh,28,72,84,18.72963144,19.18197264,6.481783043,Chana
Madhya Pradesh,57,68,81,17.17012591,17.30457712,8.081095263,Chana
Madhya Pradesh,43,68,81,17.47809436,17.93253975,6.761599706,Chana
Madhya Pradesh,38,60,76,18.65054116,17.80852431,8.868741443,Chana
Madhya Pradesh,31,70,77,20.88818675,14.32313811,6.492546046,Chana
